cluster,workload,method,rho,seed,P99_us,P999_us,slo_violation_rate,migration_rate,invalid_migration_ratio,total_finished,total_generated
HETERO_25PCT,W2,B1_PowerOf2,0.5,11,844,2.74e+03,0.093659,0,0,1000000,1200628
HETERO_25PCT,W2,B1_PowerOf2,0.5,23,756,2.28e+03,0.07258,0,0,1000000,1200617
HETERO_25PCT,W2,B1_PowerOf2,0.5,37,806,3.53e+03,0.069903,0,0,1000000,1200688
HETERO_25PCT,W2,B1_PowerOf2,0.5,47,1.48e+03,5.05e+03,0.109894,0,0,1000000,1200946
HETERO_25PCT,W2,B1_PowerOf2,0.5,59,526,1.88e+03,0.064773,0,0,1000000,1200651
HETERO_25PCT,W2,B2_Reactive,0.5,11,1.26e+03,3.79e+03,0.105088,0.0157159,0.00768456,1000000,1200635
HETERO_25PCT,W2,B2_Reactive,0.5,23,574,1.92e+03,0.073306,0.00981623,0.0111149,1000000,1200665
HETERO_25PCT,W2,B2_Reactive,0.5,37,668,1.86e+03,0.10373,0.0147856,0.00667003,1000000,1206651
HETERO_25PCT,W2,B2_Reactive,0.5,47,834,2.51e+03,0.091042,0.0119744,0.00903531,1000000,1201560
HETERO_25PCT,W2,B2_Reactive,0.5,59,1.05e+03,3.14e+03,0.120469,0.00101014,0,1000000,1200820
HETERO_25PCT,W2,M0_Proactive,0.5,11,506,506,0.025466,0.0302649,0.000137601,1000000,1200632
HETERO_25PCT,W2,M0_Proactive,0.5,23,506,506,0.020927,0.0309647,2.68976e-05,1000000,1200656
HETERO_25PCT,W2,M0_Proactive,0.5,37,506,506,0.021615,0.0270488,0.000123164,1000000,1200680
HETERO_25PCT,W2,M0_Proactive,0.5,47,506,506,0.022631,0.026786,0.000186561,1000000,1200666
HETERO_25PCT,W2,M0_Proactive,0.5,59,506,1.33e+03,0.047694,0.0449381,0.000333618,1000000,1200630
HETERO_25PCT,W2,B1_PowerOf2,0.7,11,4.9e+03,6.9e+03,0.262081,0,0,1000000,1202663
HETERO_25PCT,W2,B1_PowerOf2,0.7,23,1.92e+03,2.95e+03,0.135814,0,0,1000000,1216028
HETERO_25PCT,W2,B1_PowerOf2,0.7,37,9.32e+03,1e+04,0.189974,0,0,1000000,1211869
HETERO_25PCT,W2,B1_PowerOf2,0.7,47,2.31e+03,4.8e+03,0.162357,0,0,1000000,1201007
HETERO_25PCT,W2,B1_PowerOf2,0.7,59,6.16e+03,1e+04,0.283495,0,0,1000000,1209915
HETERO_25PCT,W2,B2_Reactive,0.7,11,1.71e+03,3.83e+03,0.158406,0.0128573,0.00116565,1000000,1201032
HETERO_25PCT,W2,B2_Reactive,0.7,23,3.03e+03,5.42e+03,0.220781,0.0209942,0.00107075,1000000,1201091
HETERO_25PCT,W2,B2_Reactive,0.7,37,698,2.09e+03,0.098803,0.0326344,0.0476628,1000000,1200941
HETERO_25PCT,W2,B2_Reactive,0.7,47,2.24e+03,3.94e+03,0.148971,0.0301531,0.0472486,1000000,1210786
HETERO_25PCT,W2,B2_Reactive,0.7,59,2.73e+03,6.23e+03,0.182228,0.0295252,0.0449546,1000000,1200941
HETERO_25PCT,W2,M0_Proactive,0.7,11,1.99e+03,5.98e+03,0.159399,0.0450203,0.0263422,1000000,1215073
HETERO_25PCT,W2,M0_Proactive,0.7,23,5.52e+03,1e+04,0.278528,0.0450028,0.0470564,1000000,1209348
HETERO_25PCT,W2,M0_Proactive,0.7,37,912,2.86e+03,0.120554,0.0450476,0.0194058,1000000,1204548
HETERO_25PCT,W2,M0_Proactive,0.7,47,898,2.71e+03,0.109947,0.045019,0.0186301,1000000,1201848
HETERO_25PCT,W2,M0_Proactive,0.7,59,506,816,0.072528,0.0450255,0.0128274,1000000,1201607
HETERO_25PCT,W2,B1_PowerOf2,0.85,11,4.15e+03,7.4e+03,0.334446,0,0,1000000,1204290
HETERO_25PCT,W2,B1_PowerOf2,0.85,23,7.29e+03,1e+04,0.504416,0,0,1000000,1214957
HETERO_25PCT,W2,B1_PowerOf2,0.85,37,3.25e+03,5.46e+03,0.376403,0,0,1000000,1225690
HETERO_25PCT,W2,B1_PowerOf2,0.85,47,2.68e+03,4.68e+03,0.331041,0,0,1000000,1214173
HETERO_25PCT,W2,B1_PowerOf2,0.85,59,4.71e+03,7.61e+03,0.387212,0,0,1000000,1207275
HETERO_25PCT,W2,B2_Reactive,0.85,11,4.51e+03,7.38e+03,0.530682,0.0113323,0,1000000,1205850
HETERO_25PCT,W2,B2_Reactive,0.85,23,2.83e+03,4.21e+03,0.28441,0.000144935,0,1000000,1207440
HETERO_25PCT,W2,B2_Reactive,0.85,37,8.22e+03,1e+04,0.56962,0.0054909,0.0200147,1000000,1237501
HETERO_25PCT,W2,B2_Reactive,0.85,47,2.45e+03,4.8e+03,0.320711,0.0198818,0.0892975,1000000,1214379
HETERO_25PCT,W2,B2_Reactive,0.85,59,2.99e+03,4.92e+03,0.350303,0.00552047,0,1000000,1204064
HETERO_25PCT,W2,M0_Proactive,0.85,11,9.89e+03,1e+04,0.910091,0.045019,0.12685,1000000,1214220
HETERO_25PCT,W2,M0_Proactive,0.85,23,1.71e+03,3.48e+03,0.293457,0.0451047,0.13957,1000000,1204554
HETERO_25PCT,W2,M0_Proactive,0.85,37,2.2e+03,4.77e+03,0.34701,0.045148,0.13927,1000000,1205833
HETERO_25PCT,W2,M0_Proactive,0.85,47,1.72e+03,2.59e+03,0.26017,0.0455641,0.127047,1000000,1223397
HETERO_25PCT,W2,M0_Proactive,0.85,59,1.25e+03,3.19e+03,0.307233,0.0451147,0.141621,1000000,1206568
HETERO_25PCT,W2,B1_PowerOf2,0.92,11,1e+04,1e+04,0.998443,0,0,1000000,1296090
HETERO_25PCT,W2,B1_PowerOf2,0.92,23,8.67e+03,1e+04,1,0,0,1000000,1236989
HETERO_25PCT,W2,B1_PowerOf2,0.92,37,1.18e+03,2.12e+03,0.62816,0,0,1000000,1205002
HETERO_25PCT,W2,B1_PowerOf2,0.92,47,4.46e+03,6.8e+03,0.789462,0,0,1000000,1249312
HETERO_25PCT,W2,B1_PowerOf2,0.92,59,4.01e+03,5.8e+03,0.901844,0,0,1000000,1222668
HETERO_25PCT,W2,B2_Reactive,0.92,11,6.7e+03,1e+04,0.996467,0.000348857,0,1000000,1266995
HETERO_25PCT,W2,B2_Reactive,0.92,23,1e+04,1e+04,0.999953,4.88782e-05,0,1000000,1288919
HETERO_25PCT,W2,B2_Reactive,0.92,37,2.26e+03,3.55e+03,0.75591,0.00569006,0.0736309,1000000,1248318
HETERO_25PCT,W2,B2_Reactive,0.92,47,5.49e+03,8.09e+03,0.827009,0.00518309,0.0954163,1000000,1237486
HETERO_25PCT,W2,B2_Reactive,0.92,59,6.9e+03,8.39e+03,1,0.000321138,0,1000000,1251798
HETERO_25PCT,W2,M0_Proactive,0.92,11,7.69e+03,1e+04,1,0.0516158,0.147811,1000000,1262752
HETERO_25PCT,W2,M0_Proactive,0.92,23,4.25e+03,8.23e+03,0.985076,0.0456469,0.167487,1000000,1233183
HETERO_25PCT,W2,M0_Proactive,0.92,37,4.55e+03,7.73e+03,0.728039,0.0442967,0.173376,1000000,1252735
HETERO_25PCT,W2,M0_Proactive,0.92,47,5.72e+03,9.09e+03,0.812877,0.0456214,0.163759,1000000,1253928
HETERO_25PCT,W2,M0_Proactive,0.92,59,3.9e+03,6.25e+03,0.993971,0.0460339,0.171259,1000000,1233049
