scenario,workload,method,rho,seed,check_period_us,epsilon_us,budget_per_check,k_candidates,h_targets,target_safety_enabled,rescuable_filter_enabled,P99_us,P999_us,slo_violation_rate,total_finished,total_generated,migration_rate,invalid_migration_ratio,intra_move_rate,intra_move_count,intra_moved_work_us,steal_attempt_count,steal_success_count,stolen_task_count,proactive_intra_attempt_count,proactive_intra_success_count,invalid_intra_move_ratio,rescue_attempt_count,rescue_candidate_count,locally_doomed_count,remote_feasible_count,target_safe_count,rescue_success_count,rescue_moved_work_us,target_unsafe_reject_count,remote_infeasible_reject_count,needless_migration_count,unsaved_migration_count,beneficial_migration_count,harmful_migration_count,predicted_target_unsafe_accept_count,target_harm_watch_count,harmful_actual_count,harmful_actual_ratio,target_induced_miss_actual,beneficial_migration_ratio,useless_migration_ratio,rescue_per_migration
rescue_w3_heavytail_main,W3,L0_RandomCore,0.5,11,1,2,1,16,4,1,1,390,724,0.232146,1000000,1200019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w3_heavytail_main,W3,L0_RandomCore,0.5,23,1,2,1,16,4,1,1,384,704,0.231886,1000000,1200028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w3_heavytail_main,W3,L0_RandomCore,0.5,37,1,2,1,16,4,1,1,400,736,0.234062,1000000,1200022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w3_heavytail_main,W3,L0_RandomCore,0.5,47,1,2,1,16,4,1,1,388,692,0.233559,1000000,1200029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w3_heavytail_main,W3,L0_RandomCore,0.5,59,1,2,1,16,4,1,1,388,698,0.2305,1000000,1200023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w3_heavytail_main,W3,L1_WorkStealing,0.5,11,1,2,1,16,4,1,1,152,326,0.012427,1000000,1200005,0,0,0.339074,406890,1.11445e+07,864840,406890,406890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w3_heavytail_main,W3,L1_WorkStealing,0.5,23,1,2,1,16,4,1,1,152,320,0.01225,1000000,1200013,0,0,0.340026,408036,1.11601e+07,864438,408036,408036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w3_heavytail_main,W3,L1_WorkStealing,0.5,37,1,2,1,16,4,1,1,154,326,0.012817,1000000,1200015,0,0,0.339738,407691,1.11717e+07,863521,407691,407691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w3_heavytail_main,W3,L1_WorkStealing,0.5,47,1,2,1,16,4,1,1,154,322,0.012465,1000000,1200007,0,0,0.340078,408096,1.12117e+07,864207,408096,408096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w3_heavytail_main,W3,L1_WorkStealing,0.5,59,1,2,1,16,4,1,1,152,316,0.012354,1000000,1200010,0,0,0.338715,406461,1.11347e+07,865008,406461,406461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w3_heavytail_main,W3,M0_IntraHostProactive,0.5,11,1,2,1,16,4,1,1,158,324,0.004439,1000000,1200005,0,0,0.175668,210803,4.57666e+06,0,0,0,3000916,210803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w3_heavytail_main,W3,M0_IntraHostProactive,0.5,23,1,2,1,16,4,1,1,158,318,0.004384,1000000,1200013,0,0,0.174997,209999,4.52359e+06,0,0,0,2999025,209999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w3_heavytail_main,W3,M0_IntraHostProactive,0.5,37,1,2,1,16,4,1,1,158,324,0.004651,1000000,1200015,0,0,0.176162,211397,4.61178e+06,0,0,0,2999653,211397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w3_heavytail_main,W3,M0_IntraHostProactive,0.5,47,1,2,1,16,4,1,1,158,320,0.004568,1000000,1200014,0,0,0.17635,211622,4.60053e+06,0,0,0,2998956,211622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w3_heavytail_main,W3,M0_IntraHostProactive,0.5,59,1,2,1,16,4,1,1,158,316,0.004563,1000000,1200013,0,0,0.174408,209292,4.51817e+06,0,0,0,3003630,209292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w3_heavytail_main,W3,M1_RescueSched,0.5,11,1,2,1,16,4,1,1,184,358,0.004514,1000000,1200005,0,0,0.143888,172666,2.82765e+06,0,0,0,0,0,0,3000911,9451717,289625,716614,716614,172666,2.82765e+06,0,441886,0,0,172665,0,0,31,0,0,0,0.999994,0,0.999994
rescue_w3_heavytail_main,W3,M1_RescueSched,0.5,23,1,2,1,16,4,1,1,184,356,0.004462,1000000,1200014,0,0,0.143585,172304,2.81389e+06,0,0,0,0,0,0,2999034,9431153,290965,715123,715123,172304,2.81389e+06,0,448737,0,0,172304,0,0,49,0,0,0,1,0,1
rescue_w3_heavytail_main,W3,M1_RescueSched,0.5,37,1,2,1,16,4,1,1,184,362,0.004722,1000000,1200019,0,0,0.144945,173937,2.86305e+06,0,0,0,0,0,0,2999660,9401228,297943,722051,722051,173937,2.86305e+06,0,469721,0,0,173936,0,0,50,0,0,0,0.999994,0,0.999994
rescue_w3_heavytail_main,W3,M1_RescueSched,0.5,47,1,2,1,16,4,1,1,184,354,0.004652,1000000,1200019,0,0,0.144579,173497,2.8403e+06,0,0,0,0,0,0,2998956,9409077,293557,720693,720693,173497,2.8403e+06,0,453535,0,0,173496,0,0,56,0,0,0,0.999994,0,0.999994
rescue_w3_heavytail_main,W3,M1_RescueSched,0.5,59,1,2,1,16,4,1,1,184,354,0.004639,1000000,1200015,0,0,0.142867,171442,2.78812e+06,0,0,0,0,0,0,3003635,9365228,292416,711391,711391,171442,2.78812e+06,0,458273,0,0,171440,0,0,32,0,0,0,0.999988,0,0.999988
rescue_w3_heavytail_main,W3,M1_RescueSched_NoTargetSafety,0.5,11,1,2,1,16,4,0,1,184,358,0.004514,1000000,1200005,0,0,0.143888,172666,2.82765e+06,0,0,0,0,0,0,3000911,9451717,289625,716614,716614,172666,2.82765e+06,0,441886,0,0,172665,0,0,31,0,0,0,0.999994,0,0.999994
rescue_w3_heavytail_main,W3,M1_RescueSched_NoTargetSafety,0.5,23,1,2,1,16,4,0,1,184,356,0.004462,1000000,1200014,0,0,0.143585,172304,2.81389e+06,0,0,0,0,0,0,2999034,9431153,290965,715123,715123,172304,2.81389e+06,0,448737,0,0,172304,0,0,49,0,0,0,1,0,1
rescue_w3_heavytail_main,W3,M1_RescueSched_NoTargetSafety,0.5,37,1,2,1,16,4,0,1,184,362,0.004722,1000000,1200019,0,0,0.144945,173937,2.86305e+06,0,0,0,0,0,0,2999660,9401228,297943,722051,722051,173937,2.86305e+06,0,469721,0,0,173936,0,0,50,0,0,0,0.999994,0,0.999994
rescue_w3_heavytail_main,W3,M1_RescueSched_NoTargetSafety,0.5,47,1,2,1,16,4,0,1,184,354,0.004652,1000000,1200019,0,0,0.144579,173497,2.8403e+06,0,0,0,0,0,0,2998956,9409077,293557,720693,720693,173497,2.8403e+06,0,453535,0,0,173496,0,0,56,0,0,0,0.999994,0,0.999994
rescue_w3_heavytail_main,W3,M1_RescueSched_NoTargetSafety,0.5,59,1,2,1,16,4,0,1,184,354,0.004639,1000000,1200015,0,0,0.142867,171442,2.78812e+06,0,0,0,0,0,0,3003635,9365228,292416,711391,711391,171442,2.78812e+06,0,458273,0,0,171440,0,0,32,0,0,0,0.999988,0,0.999988
rescue_w3_heavytail_main,W3,L0_RandomCore,0.7,11,1,2,1,16,4,1,1,740,1.18e+03,0.452669,1000000,1200042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w3_heavytail_main,W3,L0_RandomCore,0.7,23,1,2,1,16,4,1,1,704,1.13e+03,0.449884,1000000,1200063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w3_heavytail_main,W3,L0_RandomCore,0.7,37,1,2,1,16,4,1,1,722,1.19e+03,0.454491,1000000,1200079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w3_heavytail_main,W3,L0_RandomCore,0.7,47,1,2,1,16,4,1,1,696,1.11e+03,0.452664,1000000,1200122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w3_heavytail_main,W3,L0_RandomCore,0.7,59,1,2,1,16,4,1,1,694,1.11e+03,0.447438,1000000,1200048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w3_heavytail_main,W3,L1_WorkStealing,0.7,11,1,2,1,16,4,1,1,154,326,0.042602,1000000,1200007,0,0,0.416588,499909,1.44382e+07,739261,499909,499909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w3_heavytail_main,W3,L1_WorkStealing,0.7,23,1,2,1,16,4,1,1,154,320,0.041619,1000000,1200018,0,0,0.416731,500085,1.44128e+07,740874,500085,500085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w3_heavytail_main,W3,L1_WorkStealing,0.7,37,1,2,1,16,4,1,1,156,326,0.043813,1000000,1200020,0,0,0.415781,498945,1.44559e+07,737642,498945,498945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w3_heavytail_main,W3,L1_WorkStealing,0.7,47,1,2,1,16,4,1,1,156,322,0.043551,1000000,1200020,0,0,0.416029,499243,1.44302e+07,737479,499243,499243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w3_heavytail_main,W3,L1_WorkStealing,0.7,59,1,2,1,16,4,1,1,156,318,0.04185,1000000,1200015,0,0,0.416018,499228,1.44128e+07,740676,499228,499228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w3_heavytail_main,W3,M0_IntraHostProactive,0.7,11,1,2,1,16,4,1,1,158,326,0.008406,1000000,1200009,0,0,0.271755,326108,6.98525e+06,0,0,0,2143503,326108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w3_heavytail_main,W3,M0_IntraHostProactive,0.7,23,1,2,1,16,4,1,1,158,320,0.008481,1000000,1200021,0,0,0.271051,325267,6.93118e+06,0,0,0,2142164,325267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w3_heavytail_main,W3,M0_IntraHostProactive,0.7,37,1,2,1,16,4,1,1,158,326,0.009283,1000000,1200020,0,0,0.273167,327806,7.04571e+06,0,0,0,2142605,327806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w3_heavytail_main,W3,M0_IntraHostProactive,0.7,47,1,2,1,16,4,1,1,158,322,0.009074,1000000,1200023,0,0,0.272751,327307,7.03741e+06,0,0,0,2142112,327307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w3_heavytail_main,W3,M0_IntraHostProactive,0.7,59,1,2,1,16,4,1,1,158,318,0.008723,1000000,1200015,0,0,0.270458,324554,6.94775e+06,0,0,0,2145439,324554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w3_heavytail_main,W3,M1_RescueSched,0.7,11,1,2,1,16,4,1,1,190,382,0.006488,1000000,1200008,0,0,0.231298,277559,4.60591e+06,0,0,0,0,0,0,2143496,14917440,654577,1189403,1189245,277559,4.60591e+06,158,1428905,0,0,277558,0,0,8696,0,0,0,0.999996,0,0.999996
rescue_w3_heavytail_main,W3,M1_RescueSched,0.7,23,1,2,1,16,4,1,1,190,378,0.006352,1000000,1200023,0,0,0.230501,276606,4.57758e+06,0,0,0,0,0,0,2142169,14844254,643809,1185663,1185515,276606,4.57758e+06,148,1389573,0,0,276606,0,0,8172,0,0,0,1,0,1
rescue_w3_heavytail_main,W3,M1_RescueSched,0.7,37,1,2,1,16,4,1,1,190,386,0.007034,1000000,1200023,0,0,0.232205,278651,4.63373e+06,0,0,0,0,0,0,2142616,14914081,702845,1193842,1193346,278651,4.63373e+06,496,1617538,0,0,278648,0,0,9089,0,0,0,0.999989,0,0.999989
rescue_w3_heavytail_main,W3,M1_RescueSched,0.7,47,1,2,1,16,4,1,1,190,380,0.00688,1000000,1200024,0,0,0.231979,278380,4.62344e+06,0,0,0,0,0,0,2142115,14915214,686190,1193353,1192995,278380,4.62344e+06,358,1551407,0,0,278378,0,0,9052,0,0,0,0.999993,0,0.999993
rescue_w3_heavytail_main,W3,M1_RescueSched,0.7,59,1,2,1,16,4,1,1,190,378,0.006625,1000000,1200024,0,0,0.230235,276287,4.55976e+06,0,0,0,0,0,0,2145461,14850325,653417,1182965,1182613,276287,4.55976e+06,352,1430703,0,0,276280,0,0,8660,0,0,0,0.999975,0,0.999975
rescue_w3_heavytail_main,W3,M1_RescueSched_NoTargetSafety,0.7,11,1,2,1,16,4,0,1,190,382,0.006504,1000000,1200009,0,0,0.231192,277432,4.60632e+06,0,0,0,0,0,0,2143499,14916751,659797,1188225,1188185,277432,4.60632e+06,0,1450963,0,0,277431,0,15,8749,0,0,0,0.999996,0,0.999996
rescue_w3_heavytail_main,W3,M1_RescueSched_NoTargetSafety,0.7,23,1,2,1,16,4,0,1,190,378,0.006352,1000000,1200023,0,0,0.230559,276676,4.57951e+06,0,0,0,0,0,0,2142169,14855678,640210,1185852,1185826,276676,4.57951e+06,0,1374988,0,0,276676,0,10,8067,0,0,0,1,0,1
rescue_w3_heavytail_main,W3,M1_RescueSched_NoTargetSafety,0.7,37,1,2,1,16,4,0,1,190,386,0.007006,1000000,1200023,0,0,0.232252,278708,4.63028e+06,0,0,0,0,0,0,2142617,14904722,695750,1194085,1193997,278708,4.63028e+06,0,1588915,0,0,278703,0,36,9121,0,0,0,0.999982,0,0.999982
