profile,dimension,value,workload,rho,paired_seeds,same_trace_identity,mean_slo_change_vs_default,ci95_low,ci95_high,p99_over_default,p999_over_default,work_rate_over_default,comparison_scope
budget-2,budget-per-check,2,W2,0.85,1,1,0.0,0.0,0.0,1.0,1.0,0.994792812614595,same_trace_parameter_sensitivity
budget-2,budget-per-check,2,W3,0.7,1,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
budget-2,budget-per-check,2,W3,0.85,1,1,0.0,0.0,0.0,1.0,1.0,1.0001460377909577,same_trace_parameter_sensitivity
budget-2,budget-per-check,2,W3,0.9,1,1,0.0,0.0,0.0,1.0,1.0,1.0130337128378752,same_trace_parameter_sensitivity
budget-4,budget-per-check,4,W2,0.85,1,1,0.0,0.0,0.0,1.0,1.0,0.994792812614595,same_trace_parameter_sensitivity
budget-4,budget-per-check,4,W3,0.7,1,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
budget-4,budget-per-check,4,W3,0.85,1,1,0.0,0.0,0.0,1.0,1.0,0.9997203772529726,same_trace_parameter_sensitivity
budget-4,budget-per-check,4,W3,0.9,1,1,0.0,0.0,0.0,1.0,1.0,1.0130337128378752,same_trace_parameter_sensitivity
candidates-32,k-candidates,32,W2,0.85,1,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
candidates-32,k-candidates,32,W3,0.7,1,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
candidates-32,k-candidates,32,W3,0.85,1,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
candidates-32,k-candidates,32,W3,0.9,1,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
candidates-8,k-candidates,8,W2,0.85,1,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
candidates-8,k-candidates,8,W3,0.7,1,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
candidates-8,k-candidates,8,W3,0.85,1,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
candidates-8,k-candidates,8,W3,0.9,1,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
check-2,check-period-us,2,W2,0.85,1,1,-0.005,-0.005,-0.005,0.9795918367346939,0.9707317073170731,1.0104143747708105,same_trace_parameter_sensitivity
check-2,check-period-us,2,W3,0.7,1,1,-0.005000000000000001,-0.005000000000000001,-0.005000000000000001,1.0,1.0,1.0010470208811784,same_trace_parameter_sensitivity
check-2,check-period-us,2,W3,0.85,1,1,0.0,0.0,0.0,1.0,1.0,0.9773279159727986,same_trace_parameter_sensitivity
check-2,check-period-us,2,W3,0.9,1,1,-0.0050000000000000044,-0.0050000000000000044,-0.0050000000000000044,1.0,1.0,1.0263783317290138,same_trace_parameter_sensitivity
check-5,check-period-us,5,W2,0.85,1,1,0.055,0.055,0.055,0.9336734693877551,0.9658536585365853,0.7773377337733774,same_trace_parameter_sensitivity
check-5,check-period-us,5,W3,0.7,1,1,0.0,0.0,0.0,1.0,1.0,0.9647705026664593,same_trace_parameter_sensitivity
check-5,check-period-us,5,W3,0.85,1,1,0.03,0.03,0.03,1.0,1.0,0.8650090056637757,same_trace_parameter_sensitivity
check-5,check-period-us,5,W3,0.9,1,1,0.024999999999999994,0.024999999999999994,0.024999999999999994,1.0,1.0,0.8885783516447042,same_trace_parameter_sensitivity
control-accounting-unit,control-cost,normalized-1us-per-operation,W2,0.85,1,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
control-accounting-unit,control-cost,normalized-1us-per-operation,W3,0.7,1,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
control-accounting-unit,control-cost,normalized-1us-per-operation,W3,0.85,1,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
control-accounting-unit,control-cost,normalized-1us-per-operation,W3,0.9,1,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
epsilon-0,epsilon-us,0,W2,0.85,1,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
epsilon-0,epsilon-us,0,W3,0.7,1,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
epsilon-0,epsilon-us,0,W3,0.85,1,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
epsilon-0,epsilon-us,0,W3,0.9,1,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
epsilon-5,epsilon-us,5,W2,0.85,1,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
epsilon-5,epsilon-us,5,W3,0.7,1,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
epsilon-5,epsilon-us,5,W3,0.85,1,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
epsilon-5,epsilon-us,5,W3,0.9,1,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
ewma-0.01,ewma-alpha,0.01,W2,0.85,1,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
ewma-0.01,ewma-alpha,0.01,W3,0.7,1,1,0.0,0.0,0.0,1.0,1.0,0.9953600443055152,same_trace_parameter_sensitivity
ewma-0.01,ewma-alpha,0.01,W3,0.85,1,1,0.0,0.0,0.0,1.0,1.0,0.9523497933395446,same_trace_parameter_sensitivity
ewma-0.01,ewma-alpha,0.01,W3,0.9,1,1,0.0,0.0,0.0,1.0,1.0,0.997405428132019,same_trace_parameter_sensitivity
ewma-0.20,ewma-alpha,0.20,W2,0.85,1,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
ewma-0.20,ewma-alpha,0.20,W3,0.7,1,1,-0.005000000000000001,-0.005000000000000001,-0.005000000000000001,1.0,1.0,1.0236172091658413,same_trace_parameter_sensitivity
ewma-0.20,ewma-alpha,0.20,W3,0.85,1,1,0.0,0.0,0.0,1.0,1.0,1.0165362326551821,same_trace_parameter_sensitivity
ewma-0.20,ewma-alpha,0.20,W3,0.9,1,1,-0.0050000000000000044,-0.0050000000000000044,-0.0050000000000000044,1.0,1.0,1.0455604607163012,same_trace_parameter_sensitivity
handoff-0,handoff-us,0,W2,0.85,1,1,-0.005,-0.005,-0.005,0.9795918367346939,0.9707317073170731,1.0800880088008802,same_trace_parameter_sensitivity
handoff-0,handoff-us,0,W3,0.7,1,1,-0.005000000000000001,-0.005000000000000001,-0.005000000000000001,1.0,1.0,0.997222639346769,same_trace_parameter_sensitivity
handoff-0,handoff-us,0,W3,0.85,1,1,-0.005000000000000001,-0.005000000000000001,-0.005000000000000001,1.0,1.0,0.9000354339756355,same_trace_parameter_sensitivity
handoff-0,handoff-us,0,W3,0.9,1,1,-0.0050000000000000044,-0.0050000000000000044,-0.0050000000000000044,1.0,1.0,1.002111063165931,same_trace_parameter_sensitivity
handoff-2,handoff-us,2,W2,0.85,1,1,0.005,0.005,0.005,0.9336734693877551,0.9658536585365853,0.8554455445544555,same_trace_parameter_sensitivity
handoff-2,handoff-us,2,W3,0.7,1,1,0.0049999999999999975,0.0049999999999999975,0.0049999999999999975,1.0,1.0,0.9984032931562034,same_trace_parameter_sensitivity
handoff-2,handoff-us,2,W3,0.85,1,1,0.0,0.0,0.0,1.0,1.0,0.9383211088004184,same_trace_parameter_sensitivity
handoff-2,handoff-us,2,W3,0.9,1,1,0.009999999999999995,0.009999999999999995,0.009999999999999995,1.0,1.0,1.0010477865923146,same_trace_parameter_sensitivity
handoff-5,handoff-us,5,W2,0.85,1,1,0.015,0.015,0.015,0.923469387755102,0.9365853658536586,0.8398239823982397,same_trace_parameter_sensitivity
handoff-5,handoff-us,5,W3,0.7,1,1,-0.005000000000000001,-0.005000000000000001,-0.005000000000000001,1.0,1.0,0.9790471834449467,same_trace_parameter_sensitivity
handoff-5,handoff-us,5,W3,0.85,1,1,0.015,0.015,0.015,1.0,1.0,0.9705082907578457,same_trace_parameter_sensitivity
handoff-5,handoff-us,5,W3,0.9,1,1,0.0,0.0,0.0,1.0,1.0,1.0295659485953907,same_trace_parameter_sensitivity
placement-flow-uniform,placement,flow-affine-uniform,W2,0.85,1,0,-0.005,-0.005,-0.005,0.9489795918367347,0.9365853658536586,0.5995599559955995,placement_model_sensitivity
placement-flow-uniform,placement,flow-affine-uniform,W3,0.7,1,0,0.0,0.0,0.0,1.041860465116279,0.9930555555555556,0.9383690445521162,placement_model_sensitivity
placement-flow-uniform,placement,flow-affine-uniform,W3,0.85,1,0,0.0049999999999999975,0.0049999999999999975,0.0049999999999999975,0.956,0.9629629629629629,0.931276200481585,placement_model_sensitivity
placement-flow-uniform,placement,flow-affine-uniform,W3,0.9,1,0,-0.0050000000000000044,-0.0050000000000000044,-0.0050000000000000044,0.8146718146718147,0.9533333333333334,1.015879443688386,placement_model_sensitivity
placement-flow-zipf,placement,flow-affine-zipf-1.1,W2,0.85,1,0,-0.005,-0.005,-0.005,1.0,0.975609756097561,1.1269526952695268,placement_model_sensitivity
placement-flow-zipf,placement,flow-affine-zipf-1.1,W3,0.7,1,0,-0.005000000000000001,-0.005000000000000001,-0.005000000000000001,1.027906976744186,1.3888888888888888,1.4059148413832248,placement_model_sensitivity
placement-flow-zipf,placement,flow-affine-zipf-1.1,W3,0.85,1,0,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.972,1.0673400673400673,1.4882835804843701,placement_model_sensitivity
placement-flow-zipf,placement,flow-affine-zipf-1.1,W3,0.9,1,0,-0.0050000000000000044,-0.0050000000000000044,-0.0050000000000000044,0.8918918918918919,1.07,1.4433453933902038,placement_model_sensitivity
scan-128,scan-depth,128,W2,0.85,1,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
scan-128,scan-depth,128,W3,0.7,1,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
scan-128,scan-depth,128,W3,0.85,1,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
scan-128,scan-depth,128,W3,0.9,1,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
scan-32,scan-depth,32,W2,0.85,1,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
scan-32,scan-depth,32,W3,0.7,1,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
scan-32,scan-depth,32,W3,0.85,1,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
scan-32,scan-depth,32,W3,0.9,1,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
targets-2,h-targets,2,W2,0.85,1,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
targets-2,h-targets,2,W3,0.7,1,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
targets-2,h-targets,2,W3,0.85,1,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
targets-2,h-targets,2,W3,0.9,1,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
targets-8,h-targets,8,W2,0.85,1,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
targets-8,h-targets,8,W3,0.7,1,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
targets-8,h-targets,8,W3,0.85,1,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
targets-8,h-targets,8,W3,0.9,1,1,0.0,0.0,0.0,1.0,1.0,1.0,same_trace_parameter_sensitivity
